galaxy,rmse_kms,v_flat_kms,g_bar_max_over_a0,n_points,bulge_fraction,gas_fraction,log_sb_central,mond_fraction,profile_shape,inner_slope
UGC07577,12.2751,17.8,0.0303,9,0.0,0.48209068167749564,1.1297221086958777,1.0,0.0,0.28707865168378044
UGC07603,8.9805,64.0,0.1694,12,0.0,0.5144002922529988,1.8216510659621161,1.0,0.0,0.48437499999924316
UGC07608,9.2576,69.3,0.04,8,0.0,0.7950352843521461,0.9096095104901688,1.0,0.0,0.5194805194797699
UGC07690,5.4109,55.9,0.4834,7,0.0,0.4768271628248798,1.623156217322164,1.0,-0.07907742998339533,0.24150268336271646
UGC07866,6.6555,33.1,0.0472,7,0.0,0.5955760510008827,1.2433109480298226,1.0,0.0,0.41691842900176157
UGC08286,14.1622,84.3,0.0985,17,0.0,0.5775547400588773,1.7219836392635535,1.0,0.0,0.5622775800705073
UGC08490,12.2495,77.6,0.3274,30,0.0,0.6648403762890086,2.0637873103176716,1.0,-0.03121098626712708,0.3788659793809552
UGC08550,4.9797,57.5,0.1031,11,0.0,0.7575935663570326,1.5370757527751402,1.0,-0.0051903114186760925,0.4208695652166594
UGC08699,24.7997,183.0,24.1234,41,0.29588845245698936,0.10347000352232928,3.0514461992201016,0.6585365853658537,-0.0940594059405475,0.19672131147530236
UGC08837,12.4848,48.0,0.0625,8,0.0,0.5722411109801937,1.3416521119435323,1.0,0.0,0.4331249999990977
UGC09037,24.1531,152.0,1.0403,22,0.0,0.3924702806577019,2.3714391638903196,0.9545454545454546,-0.04999999999996876,0.38026315789448667
UGC09133,26.4532,229.0,25.9355,68,0.27421527987471267,0.20399853043604757,3.1151013733025237,0.5,-0.207612456747333,-0.017467248908289316
UGC09992,13.3073,34.3,0.0848,5,0.0,0.5588829689508448,1.0094933882875399,1.0,0.0,0.15451895043686723
UGC10310,6.2634,73.2,0.0817,7,0.0,0.5851293410355662,1.4407674412045057,1.0,0.0,0.4918032786878527
UGC11455,19.4609,266.0,1.429,36,0.0,0.06365806593660615,3.14407611787813,0.4166666666666667,-0.08591065292093268,0.2928571428570328
UGC11557,26.9926,84.5,0.3045,12,0.0,0.1729272150784277,2.3551468132467104,1.0,-0.00588235294116955,0.4840236686384804
UGC11820,7.6114,84.45,0.082,10,0.0,0.8724419087137043,1.8669427176301852,1.0,0.0,0.23445825932476672
UGC11914,48.0547,305.0,30.8184,65,0.36881852507206664,0.008744897132710963,3.3741855977026227,0.0,0.0,0.16393442622945445
UGC12506,50.7714,225.0,0.4435,31,0.0,0.3546156115602008,2.486006604695922,1.0,-0.11764705882348328,0.4044444444442647
UGC12632,6.4174,73.1,0.0438,15,0.0,0.6943882194812908,1.3368798155984225,1.0,-0.001366120218577485,0.414500683993961
UGC12732,6.7166,98.0,0.0606,16,0.0,0.8252560014527685,1.3918345416932862,1.0,0.0,0.3173469387751863
UGCA281,1.5193,29.5,0.1098,7,0.0,0.4068769415781816,1.9155106374084592,1.0,0.0,0.6440677966079863
UGCA442,2.6284,56.5,0.0608,8,0.0,0.830485667578957,0.7642508754387732,1.0,-0.022491349480929897,0.6159292035387328
UGCA444,3.6861,38.3,0.0514,36,0.0,0.942241506477844,0.451939869365103,1.0,0.0,0.13629242819807755
